"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" não está disponível na quantidade desejada. %s dos itens serão devolvidos."
"%s is available for purchase in increments of %s only.","%s só está diponível para compra em incrementos de %s."
"%s is not a correct comparsion method.","%s não é um método de comparação correto."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Observe</strong> que estas configurações são aplicáveis à itens na linha de carrinho, não inteiramente ao carrinho."
"Add Minimum Qty","Adicionar Qtd Mínima"
"Allow Qty Below 0","Permitir Qtd Abaixo de 0"
"Allow Qty Below 0 and Notify Customer","Permitir Qtd Abaixo de 0 e Notificar o Cliente"
"Automatically Return Credit Memo Item to Stock","Retornar Automaticamente Item do Memorando de Crédito para o Estoque"
"Backorders","Pedidos Retornados"
"By Fixed value","Por Valor fixo"
"By Percentage","Por Percentual"
"Cannot specify product identifier for the order item.","Não é possível especificar o identificador do produto para o item do pedido."
"Catalog Inventory","Inventário do Catálogo"
"Decrease Stock When Order is Placed","Diminuir Estoque Quando o Pedido for Feito"
"Display Out of Stock Products","Exibir Produtos Fora do Estoque"
"Display products availability in stock in the frontend","Exibir disponibilidade em estoque do produto no frontend"
"Enable Qty Increments","Habilitar Incrementos de Qtd"
"In Stock","Em Estoque"
"Index Product Stock Status","Status de Indexação de Estoque de Produtos"
"Inventory","Inventário"
"Inventory API","API de Inventário"
"Inventory Section","Seção de Inventário"
"Manage Stock","Gerenciar Estoque"
"Maximum Qty Allowed in Shopping Cart","Qtd Máxima Permitida no Carrinho de Compras"
"Minimum Qty","Qtd Mínima"
"Minimum Qty Allowed in Shopping Cart","Qtd Mínima Permitida no Carrinho de Compras"
"Multi update product stock data","Atualização múltipla dos dados de estoque do produto"
"No Backorders","Sem Pedidos Retornados"
"Not all products are available in the requested quantity","Nem todos os produtos estão disponíveis na quantidade solicitada"
"Notify for Quantity Below","Notificar para Quantidade Abaixo"
"Only X left Threshold","Início de Somente X restantes"
"Out of Stock","Fora de Estoque"
"Product Stock Options","Opções de Estoque de Produto"
"Products will still be shown by direct product URLs.","Produtos continuarão sendo exibidos pelas URLs de produto diretas."
"Qty Increments","Incrementos de Qtd"
"Qty for Item's Status to Become Out of Stock","Qtd para o Status do Item Ficar Fora de Estoque"
"Retrieve stock data","Recuperar dados de estoque"
"Retrieve stock data by product ids","Recuperar dados de estoque por ids de produtos"
"Rule price","Preço de regra"
"Set Items' Status to be In Stock When Order is Cancelled","Definir Status do Item para Em Estoque Quando o Pedido for Cancelado"
"Some of the products are currently out of stock.","Alguns dos produtos estão atualmente fora de estoque."
"Some of the products cannot be ordered in requested quantity.","Alguns dos produtos não podem ser comprados na quantidade solicitada."
"Some of the products cannot be ordered in the requested quantity.","Alguns dos produtos não podem ser comprados na quantidade solicitada."
"Stock Options","Opções de Estoque"
"Stock Status","Status do Estoque"
"The maximum quantity allowed for purchase is %s.","A quantidade máxima permitida para compra é %s."
"The minimum quantity allowed for purchase is %s.","A quantidade mínima permitida para compra é %s."
"The requested quantity for ""%s"" is not available.","A quantidade solicitada para ""%s"" não está disponível."
"The stock item for Product in option is not valid.","O item de estoque para Produto em opção não é válida."
"The stock item for Product is not valid.","O item de estoque para Produto não é válido."
"This product is available for purchase in increments of %s only.","Este produto está disponível para compra somente em incrementos de %s."
"This product is currently out of stock.","Este produto esta fora de estoque atualmente."
"This product is not available in the requested quantity. %s of the items will be backordered.","Este produto não está disponível na quantidade solicitada. %s dos itens serão devolvidos."
"To Fixed Value","Para Valor Fixo"
"To Percentage","Para Percentual"
"Undefined product type.","Tipo de produto indefinido."
"Update","Atualizar"
"Update product stock data","Atualizar dados de estoque de produto"
"Update the Product","Atualizar o Produto"
