"--Please Select--","--Por Favor Selecione--"
"API Login ID","ID de Login da API"
"Accepted Currency","Moeda Aceita"
"Authorize.net Direct Post","Post Direto Authorize.net"
"Card Verification Number","Número de Verificação de Cartão"
"Card Verification Number Visual Reference","Referência Visual do Número de Verificação de Cartão"
"Close","Fechar"
"Credit Card Information","Informação de Cartão de Crédito"
"Credit Card Number","Número do Cartão de Credito"
"Credit Card Type","Tipo do Cartão de Crédito"
"Credit Card Types","Tipos de Cartão de Crédito"
"Credit Card Verification","Verificação do Cartão de Crédito"
"Debug","Depurar"
"Email Customer","Email Cliente"
"Enabled","Habilitado"
"Expiration Date","Data de Vencimento"
"Gateway URL","URL do Gateway"
"Maximum Order Total","Total Máximo do Pedido"
"Merchant MD5","MD5 do Comerciante"
"Merchant's Email","Email do Comerciante"
"Minimum Order Total","Total Mínimo do Pedido"
"New Order Status","Novo Status de Pedido"
"Order saving error: %s","Erro ao salvar pedido: %s"
"Payment Action","Ação de Pagamento"
"Payment authorization error.","Erro na autorização de pagamento."
"Payment authorization error. Transacion id is empty.","Erro na autorização de pagamento. O id da transação está vazio."
"Payment error. Order was not found.","Erro no pagamento. Pedido não encontrado."
"Payment error. Paid amount doesn\'t match the order amount.","Erro no pagamento. A quantidade paga não coincide com a quantidade do pedido."
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de Países Específicos"
"Please, choose payment method","Por favor, escolha um método de pagamento"
"Response hash validation failed. Transaction declined.","Validação de hash de resposta falhou. Transação rejeitada."
"Sort Order","Ordem de Classificação"
"Test Mode","Modo Teste"
"The order has been created.","O pedido foi criado."
"There was an error processing your order. Please contact us or try again later.","Ocorreu um erro ao processar seu pedido. Por favor contate-nos ou tente novamente depois."
"Title","Título"
"Transaction Key","Chave de Transação"
"What is this?","O que é isto?"
"You will be required to enter your payment details before you place an order.","Você precisará digitar seus detalhes de pagamento antes de fazer um pedido."
