"%s Item(s)","%s Item(s)"
"&copy; 2013 Magento Demo Store. All Rights Reserved.","&copy; 2013 Magento Demo Store. Todos os Direitos Reservados."
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para alterar o valor"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Segure o botão do mouse em um dos botões acima para uma seleção mais rápida."
"- Use the %s buttons to select month","- Use os botões %s para selecionar o mês"
"- Use the %s, %s buttons to select year","- Use os botões %s, %s para selecionar o ano"
"- or Shift-click to decrease it","- ou Shift-clique para diminuir"
"- or click and drag for faster selection.","- ou clique e arrasta para uma seleção mais rápida."
"-- Please Select --","-- Por Favor Selecione --"
"1 column","1 coluna"
"2 columns with left bar","2 colunas com barra esquerda"
"2 columns with right bar","2 colunas com barra direita"
"3 columns","3 colunas"
"About the calendar","Sobre o calendário"
"All Empty Layout Pages","Todas as Páginas de Layout Vazias"
"All One-Column Layout Pages","Todas as Páginas de Layout de Uma Coluna"
"All Pages","Todas as Páginas"
"All Pages (Print Version)","Todas as Páginas (Versão para Impressão)"
"All Three-Column Layout Pages","Todas as Páginas de Layout de Três Colunas"
"All Two-Column Layout Pages (Left Column)","Todas as Páginas de Layout de Duas Colunas (Coluna Esquerda)"
"All Two-Column Layout Pages (Right Column)","Todas as Páginas de Layout de Duas Colunas (Coluna Direita)"
"Allow","Permitir"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","Clique <a href=""%s"">aqui</a> se nada acontecer"
"Close","Fechar"
"Close Window","Fechar Janela"
"DHTML Date/Time Selector","Seletor DHTML de Data/Hora"
"Date selection:","Seleção de data:"
"Default Description","Descrição Padrão"
"Default welcome msg!","Mensagem padrão de boas-vindas!"
"Display %s first","Exibir %s primeiro"
"Distributed under GNU LGPL. See %s for details.","Distribuído sobre GNU LGPL. Veja %s para detalhes."
"Drag to move","Arraste para mover"
"Empty","Vazio"
"For latest version visit: %s","Para última versão visite: %s"
"Free Shipping on orders over 50$","Entrega grátis em pedidos acima de 50$"
"Go Today","Ir Hoje"
"Help Us to Keep Magento Healthy","Ajude-nos a Melhorar o Magento"
"Interface Language","Idioma da Interface"
"Items %s to %s of %s total","Itens %s até %s de %s no total"
"JavaScript seems to be disabled in your browser.","O JavaScript parece estar desabilitado em seu navegador."
"Left Column","Coluna Esquerda"
"Main Content Area","Área Principal de Conteúdo"
"Navigation Bar","Barra de Navegação"
"Next","Próximo"
"Next month (hold for menu)","Próximo mês (segure para exibir o menu)"
"Next year (hold for menu)","Próximo ano (segure para exibir o menu)"
"Page Bottom","Parte Inferior da Página"
"Page Footer","Rodapé da Página"
"Page Header","Cabeçalho da Página"
"Page Top","Parte Superior da Página"
"Page:","Página:"
"Prev. month (hold for menu)","Mês anterior (segure para exibir o menu)"
"Prev. year (hold for menu)","Ano anterior (segure para exibir o menu)"
"Previous","Anterior"
"Redirecting...","Redirecionando..."
"Report All Bugs","Reportar Todos os Bugs"
"Right Column","Coluna Direita"
"Select Store","Selecione a Loja"
"Select Store:","Selecione a Loja:"
"Select date","Selecione a data"
"Show","Exibir"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta é uma loja de demonstração. Qualquer pedido feito nesta loja não será honrado ou cumprido."
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","Este website requer cookies para fornecer todos os seus recursos. Para maiores informações sobre os dados contidos nos cookies, por favor veja nossa <a href=""%s"">página de Política de Privacidade</a>. Para aceitar cookies neste site, por favor clique no botão Permitir abaixo."
"Time selection:","Seleção de horário:"
"Time:","Horário:"
"Welcome, %s!","Bem vindo, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Você precisa ter o JavaScript habilitado em seu navegador para utilizar a funcionalidade deste website."
"Your Language","Seu Idioma"
"Your Language:","Seu Idioma:"
"per page","por página"
