"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Rating","Adicionar Nova Classificação"
"Assigned Options","Opções Atribuídas"
"Be the first to review this product","Seja o primeiro a avaliar este produto"
"Default Value","Valor Padrão"
"Delete Rating","Excluir Classificação"
"Edit Rating","Editar Classificação"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Se você não especificar um título de classificação para a loja, o valor padrão será usado."
"Manage Ratings","Gerenciar Classificações"
"New Rating","Nova Classificação"
"Option Label","Rótulo da Opção"
"Option Title","Título da Opção"
"Option Title:","Título da Opção:"
"Please select one of each ratings above","Por favor selecione uma de cada avaliações abaixo"
"Rating Information","Informações de Classificação"
"Rating Name","Nome da Classificação"
"Rating Options","Opções da Classificação"
"Rating Title","Título da Classificação"
"Rating Visibility","Visibilidade da Classificação"
"Rating isn't Available","Classificação não está Disponível"
"Rating with the same title","Classificação com o mesmo título"
"Save Rating","Salvar Classificação"
"Sort Order","Ordem de Classificação"
"Visible In","Visível Em"
